,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
202,12/2/1929,Douglas M-3,National Air Transport,1.0,,"Chagrin Falls, Ohio",USA,The mail plane crashed en route during a storm.,5
203,12/14/1929,Bernard 192,Aeropostale,3.0,,Mediterranean Sea,Mediterranean Sea,,0
204,12/19/1929,Arado V1,Deutsche Lufthansa,2.0,,"Near Berlin, Germany",Germany,Forced landing 40 miles from Berlin.,8
205,12/30/1929,Travel Air B6000,Trans Continental Air Transport,5.0,,"Amarillo, Texas",USA,Crashed on approach onto a golf course.,6
206,1/10/1930,Boeing 95,Boeing Air Transport,1.0,,"Brawnson, Nebraska",USA,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.,9
207,1/13/1930,Farman 190,Air Orient,3.0,,"Antananarivo, Madagascar",Madagascar,,11
208,1/19/1930,Ford 5-AT-C Tri Motor,Maddux Airlines,16.0,"Aqua Caliente, Mexico - Los Angeles","Oceanside, California",USA,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.",11
209,1/25/1930,Latecoere 25,Aeropostale,2.0,,"Off Ceuta, Spain",Spain,,6
210,1/27/1930,Travel Air A6000A,Central  Airlines,5.0,"Wichita - Kansas City, KS","Kansas City, Kansas",USA,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.",7
211,2/3/1930,Pitcairn PA-6 Mailwing,Colonial Air Transport,1.0,"Newark, NJ - Hartford, CT","Hartford, Connecticut",USA,While attempting to land the plane struck a building and fell into the Connecticut river.,12
212,2/10/1930,Farman F-63,Air Union,2.0,,"Marden, England",England,,8
213,4/18/1930,Fairchild 71,Canadian Colonial Airways,4.0,"Albany, NY - Jersey City, NJ","Jersey City, New Jersey",USA,Crashed into power lines 150 feet above the ground in fog.,11
214,5/10/1930,Latecoere 28,Aeropostale,3.0,,Buenos Aires,Buenos Aires,,0
215,6/5/1930,Ford Tri-Motor 5,Colonial Air Transport,1.0,,"Boston, Massachusetts",USA,Crashed into Boston Harbor after loosing the right  engine on takeoff.,14
216,7/7/1930,Dornier Wal,Deutsche Lufthansa,5.0,Stettin - Norway,"Bornholm, Denmark",Denmark,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave.",8
217,7/10/1930,Lockheed Vega 5,Cross Airways,5.0,,"Arkansas Pass, Texas",USA,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms.",6
218,8/22/1930,Ford 5-AT-C Tri Motor,Ceskoslovenske Aerolinie,10.0,Prague - Brun -  Pressburg,"Iglau, Czechoslovakia",Czechoslovakia,"Crashed while the pilot attempted to make an  emergency landing in fog, during a storm.",15
219,9/11/1930,Sabca F-VII,Sabena,2.0,,"Croydon, England",England,,8
220,9/25/1930,,Western Canada Airways,3.0,Calgary - Moosejaw,"Southesk, Saskatchewan, Canada",Canada,The air mail plane crashed in fog  while en route.,7
221,10/5/1930,Royal Airship Works R-101,Military - British Air Ministry,48.0,"Cardington, England - Karachi, Pakistan","Near Beauvais, France",France,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamilift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.",7
222,10/6/1930,Messerschmitt M-20B,Deutsche Lufthansa,8.0,Berlin - Vienna,"Dresden, Germany",Germany,Crashed into hill while attempting to land.,8
223,10/12/1930,Latecoere 28,Aeropostale,4.0,Casablanca - Bahat - Toulouse,"La Rache, Morocco",Morocco,The french postal plane crashed into mountains.,8
224,10/28/1930,Lockheed Vega,Alaska-Washington Airways,3.0,,"Prince Rupert, BC, Canada",Canada,,7
225,10/30/1930,Handley Page W-8,Imperial Airways,3.0,"Paris, France - London, England","Near Neufchatel, France",France,Crashed into high ground in fog after losing an engine. The plane was named 'City of Washington.',7
226,10/30/1930,Pitcairn PA-6 Mailwing,Embry Riddle Company,1.0,,"Brookston, Indiana",USA,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.,8
227,11/7/1930,Junkers G-24,Syndicato Condor,1.0,,"Off of Santos, Brazil",Brazil,Crashed into the sea.,7
228,11/18/1930,Boeing 40,PacifiAir Transport,3.0,"Burbank, CA - Oakland, CA","Techachapi Mountains, California",USA,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",11
229,12/9/1930,Loening C-W Air Yaht,China National Aviation Corporation,4.0,Shanghai - Hankow,"Shanghai, China",China,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'.,6
230,1/8/1931,Fokker F-VII,Sabena,2.0,,"Melle, Belgium",Belgium,,8
231,1/22/1931,Boeing 40,Varney Air Lines,1.0,Portland - Pasco,"Bluff Mountain, Washington",USA,The mail plane flew into Bluff Mountain in dense fog.,11
232,2/8/1931,Desoutter II,Dominion Air Lines,1.0,,"Wairoa, New Zealand",New Zealand,,12
233,2/20/1931,Fokker Universal F-14,Western Canada Airways,2.0,Winnigeg - Moosejaw,"Bagot, Manitoba, Canada",Canada,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident.",7
234,2/24/1931,Latecoere 32,Aeropostale,1.0,,Off Spain,Off Spain,,0
235,3/21/1931,Avro 10,Australian National Airways,8.0,,"New South Wales, Australia",Australia,Wreckage found 10/26/1958.,10
236,3/31/1931,Fokker F10A Trimotor,Trans Continental and Western Air,8.0,Kansas City - Wichita -  Los Angeles,"Bazaar, Kansas",USA,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",7
237,4/14/1931,Messerschmitt M-20,Deutsche Lufthansa,2.0,,"Near Letschen, Germany",Germany,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.,8
238,5/5/1931,Boeing 40,PacifiAir Transport,2.0,San Diego - Los Angeles,"Burbank, California",USA,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,11
239,5/22/1931,Junkers W-34,Guiena Airways,1.0,,"Wampit, Australia",Australia,,10
240,5/24/1931,Boeing 95,National Air Transport,1.0,,"Bellefonte, Pennsylvania",USA,Crashed into a mountain and burned in poor visibility.,13
241,6/7/1931,Fokker F-VIIB,Air Orient,4.0,Saigon - Karachi,"Near Sandoway, Burma",Burma,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.,6
242,6/11/1931,Lockheed Vega 2,Rubner Flying Service,2.0,,"Walbridge, Ohio",USA,A wing buckled as the plane was attempting to land and the plane crashed.,5
243,6/13/1931,Dornier Merkur,Deutsche Lufthansa,4.0,Cologne - Saarbrucken,"Saarbrucken, Germany",Germany,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure.",8
244,7/12/1931,Lockheed Vega,Braniff Airlines,2.0,Chicago - Detroit,"Chicago, Illinois",USA,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.,9
245,7/14/1931,Lasco Lascowl,Australian Aerial Services,2.0,,"Temora, Australia",Australia,,10
246,7/21/1931,Pitcairn PA-6 Mailwing,American Airways,1.0,,"Centralia, Illinois",USA,,9
247,7/24/1931,Fokker F-VII,CIDNA,7.0,Constantinople - Budapest,"Kurudjevo, Bulgaria",Bulgaria,The aircraft caught fire in mid air and crashed.,9
248,8/9/1931,Ford 5-AT-C Tri Motor,American Airways,6.0,,"Cincinnati, Ohio",USA,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.,5
249,9/14/1931,Lockheed Vega,Chicago-Detroit Airways,1.0,,"Chicago, Illinois",USA,Crashed in a severe rainstorm while attempting to land.,9
250,9/16/1931,Boeing 40,PacifiAir Transport,4.0,"Oakland, CA - Seattle, WA","Oakland, California",USA,Crashed into San Francisco Bay shortly after taking off from Oakland airport.,11
251,10/6/1931,Heinkel HE-2,Deutsche Lufthansa,3.0,,"Novia Scotia, Canada",Canada,,7
252,10/14/1931,Dornier Wal,Syndicato Condor,3.0,,Brazil,Brazil,,0
253,11/5/1931,Lockheed Orion 9,"NY, Phil., Washington AW",5.0,"Newark, NJ  - Camden, NJ - Washington DC","Camden, New Jersey",USA,Crashed  onto a golf course and burst into flames after circling the airport twice to land.,11
254,11/13/1931,De Havilland DH.80,Union Airways,3.0,,"Sir Lowry's pass, South Africa",South Africa,,13
255,11/23/1931,Boeing 40,Boeing Air Transport,1.0,,"Salt Lake City, Utah",USA,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark.,5
256,11/24/1931,Stinson,China National Aviation Corporation,3.0,Nanking - Peiking,"Near Tsinan, China",China,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.,6
257,11/26/1931,Boeing 40,Varney Air Lines,1.0,"Portland,  WA - Pasco, WA","Pasco, Washington",USA,Crashed in fog while attempting to land.,11
258,12/5/1931,Lockheed Vega 5,Braniff Airways,2.0,Kansas City - Chicago,"Kewanee, Illinois",USA,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.,9
259,12/6/1931,Fokker F-VIIb-3M,KLM Royal Dutch Airlines,5.0,,"Bangkok, Thailand",Thailand,Did not gain altitude while taking off. The landing gear hit the top of a dam and the plane crashed.,9
260,12/9/1931,CAMS 56,Aeropostale,2.0,,Off Algiers,Off Algiers,,0
261,12/31/1931,Fairchild Pilgrim 100A,American Airways,4.0,"Port Colombus, OH - Louisville, KY","Springfield, Ohio",USA,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed.",5
262,1/21/1932,Stinson SM-2A,Northwest Airways,1.0,"Rockford - Chicago, IL - Madison, WI","Colvin Park, Ilinois",Ilinois,Crashed in heavy fog a few minutes after taking off from Rockford. A witness said the plane caught fire after an explosion in mid air and crashed.,8
263,1/29/1932,Stinson SM-6000B,Century PacifiLines,8.0,"San Francisco - Bakersfield - Los Angeles, CA","Lebec, California",USA,Crashed into a canyon in mountains during a snowstorm.,11
264,2/1/1932,Fairchild,Bimini Airways,5.0,Miami - Bimini,"Off Miami, Florida",USA,Disappeared while en route on a 45 minute flight.,8
265,2/2/1932,Stearman C-3MB,Transamerican Airlines,1.0,Chicago - Kalamazoo,"Marcellus, Michigan",USA,Mail plane crashed.,9
266,2/2/1932,Boeing 40,Boeing Air Transport,1.0,,"Rio Vista, California",USA,Struck an irrigation ditch and caught fire  during landing.,11
267,2/27/1932,Latecoere 28,Aeropostale,3.0,,"Off Setiba, Brazil",Brazil,,7
268,3/8/1932,Stinson SM-6000B,Century Air Lines,2.0,Training,"Saint Louis, Illinois",USA,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings.",9
269,3/19/1932,Fokker F-10A,American Airways,7.0,"Phoenix, AZ - Los Angeles, CA","Calimesa, California",USA,Crashed into an orchard after striking power lines in fog.,11
270,3/21/1932,Northrop Alpha,Trans Continental and Western Air,1.0,Columbus - McKeesport,"Steubenville, Ohio",USA,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.,5
271,3/29/1932,Farman F-190,Air Orient,3.0,,Syria,Syria,,0
272,3/31/1932,Boeing 95,National Air Transport,1.0,,"Bedford, Ohio",USA,,5
273,4/21/1932,Stearman C-3MB,Transamerica Airlines,1.0,,"Fort Wayne, Indiana",USA,,8
274,5/3/1932,Boeing 40,Varney Air Lines,2.0,,"Portland, Oregon",USA,,7
275,5/16/1932,Boeing 40,PacifiAir Transport,3.0,San Diego - Burbank - Oakland,"Burbank, California",USA,Crashed and burned  in fog while attempting to land at Burbank Airport. Both pilots and the radio man were killed.,11
276,7/16/1932,Ford 5-AT-C Tri Motor,Panagra,9.0,"Santiago, Chile - Mendosa, Argentina","Mount El Plomo, near Vitacura, Chile",Chile,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934.",6
277,8/12/1932,CAMS 53,Air Orient,1.0,,"Beyrouth, Lebanon",Lebanon,,8
278,8/30/1932,Junkers G-23,A B Aerotransport,2.0,,"Tubergen, Germany",Germany,,8
279,9/8/1932,Fokker F-10,American Airways,3.0,El Paso - Dallas,"Salt Flats, Texas",USA,The mail plane struck a mountain and burned encountering poor weather conditions.,6
280,9/17/1932,Liore-et-Olivier 213,Air Union,1.0,,"Selsdon Park, England",England,,8
281,9/18/1932,De Havilland DH-80,New England Airways,3.0,,"Byron Bay, Australia",Australia,,10
282,10/12/1932,Latecoere 28,Aeropostale,1.0,,"Port Etienne, Mauritania",Mauritania,,11
283,10/26/1932,Ford Tri-motor 5,Lloyd Aero Boliviano,2.0,,"Villa Monte, Bolivia",Bolivia,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.,8
284,10/29/1932,Junkers W-33,Deutsche Lufthansa,2.0,,"Ramsgate, England",England,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.,8
285,11/2/1932,Junkers F-13,Deutsche Lufthansa,5.0,Nuremberg - Frankfort,"Echterpfuhl, Germany",Germany,Crashed into mountainous terrain in the Spessart mountains in fog.,8
286,11/25/1932,Travel Air 6000,Hunter Airways,2.0,"Little Rock, AR - Memphis, TN","Marianna, Arkansas",USA,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.,9
287,12/14/1932,Ford 5,Trans Continental and Western Air,2.0,,"Amarillo, Texas",USA,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.,6
288,12/14/1932,Boeing 40,Boeing Air Transport,1.0,,"Rocky Ridge, Colorado",USA,,9
289,12/26/1932,De Havilland DH-60,Guinea Airways,2.0,,"Wau, Australia",Australia,,10
290,1/10/1933,CAMS 53,Aeropostale,1.0,,Algiers,Algiers,,0
291,1/14/1933,Curtiss Condor 18,Eastern Air Transport,2.0,Test flight,"Newark, New Jersey",USA,Went into a vertical bank and crashed and burned.,11
292,1/20/1933,Stearman 4,American Airways,1.0,,"Marietta, Georgia",USA,,8
293,1/20/1933,Stearman 4,American Airways,1.0,Big Springs - San Antonio,"Bourne, Texas",USA,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.,6
294,1/24/1933,Ford 5-AT-D,PacifiAir Transport,1.0,,"Eugene, Oregon",USA,The mail plane crashed while taking off.,7
295,3/11/1933,Fairchild FC-2W,Pan American Grace Airways,2.0,"Mendoza, Argentina - Santiago, Chili","Near Mendoza, Argentina",Argentina,Crashed and burned.,10
296,3/25/1933,Lockheed Orion 9,Varney Airlines,3.0,Burbank - San Francisco,"Hayward, California",USA,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",11
297,3/28/1933,Armstrong Whitworth Argosy II,Imperial Airways,15.0,"Cologne, Germany - Croydon, England","Near Dixmude, Belgium",Belgium,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger in an attempt to commit suicide.",8
298,4/3/1933,Junkers F-13,Deutsche Lufthansa,1.0,,"Hemkenrode, Germany",Germany,,8
299,4/4/1933,Goodyear-Zeppelin U.S.S. Akron (airship),Military - U.S. Navy,73.0,,"Off Barnegat, New Jersey",USA,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning.",11
300,4/23/1933,Cams 33,Air Orient,6.0,,"Mt. Terrione, Italy",Italy,Crashed into a mountain.,6
301,4/29/1933,Junkers W-34,Eurasia,4.0,,"Traunstein, Germany",Germany,Crashed on a test flight before delivery to Eurasia in China.,8
302,5/9/1933,Latecoere 28-1,Aeropostale - La Tecoere Company,6.0,Paris - Morroco,"Viladrau, Spain",Spain,Crashed while landing in fog.,6
